,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,807.241283455149,-3.14887711731922,1.26984032296726,-2.47974257894188,0.0131477263955373,0.0981329659740444
ENSG00000000005,0,NA,NA,NA,NA,NA
ENSG00000000419,107.154466136106,-0.0203517401792526,2.30392096956021,-0.00883352356619135,0.99295195959027,1
ENSG00000000457,197.336711330416,-2.3302850563488,1.67952180359723,-1.38746936857726,0.165298685259224,0.499962655449676
ENSG00000000460,28.7679173646025,-7.05029792092275,3.72217050723232,-1.89413620553485,0.0582069331177536,0.258569119178051
ENSG00000000938,0,NA,NA,NA,NA,NA
ENSG00000000971,607.470734541065,-3.24793173470243,1.72813801595752,-1.87944001272539,0.0601844371656756,0.264726607215511
ENSG00000001036,935.918468069103,-0.136645802601771,0.932295172992714,-0.146569248195431,0.88347202787669,1
ENSG00000001084,272.820917381712,-1.50870215926892,1.49861929185762,-1.0067281046401,0.314065452455225,0.707041685750571
ENSG00000001167,182.053949126335,-1.18794019760752,2.03600684457195,-0.583465719073883,0.559579827934774,0.884482532692949
ENSG00000001460,115.734367204587,-1.32966656497225,2.39360740791345,-0.555507373755724,0.578547667921042,0.89457993465366
ENSG00000001461,478.353223171142,-0.933367353365629,1.26344166575198,-0.738749859741329,0.460058903428014,0.823933969639544
ENSG00000001497,228.773240449089,-0.48062388438639,1.64529340022166,-0.292120471839027,0.770194514747198,0.978329606089574
ENSG00000001561,514.865230417356,-1.79133762129196,1.44739049707179,-1.23763257041967,0.215852331854475,0.582794619473465
ENSG00000001617,37.7703527918135,-23.474187657843,3.3907104548026,-6.92308823497275,4.4190232631223e-12,3.78173079056809e-10
ENSG00000001626,2.7724803094705,0,9.27064804121874,0,NA,NA
ENSG00000001629,681.052911168426,-2.54689353532217,1.39816813400046,-1.82159317852207,0.068516736746108,0.289130955962554
ENSG00000001630,742.670937038439,-0.445976195681322,0.912622084772989,-0.488675655698444,0.625071341488002,0.919920020739613
ENSG00000001631,438.732867463455,-1.28874409754443,1.19918021004409,-1.07468759636807,0.28251461884744,0.672411754033893
ENSG00000002016,118.799381528188,-1.64239613047062,2.45307847871816,-0.669524495330799,0.503160960465043,0.851436595601796
ENSG00000002079,0.0141281630279777,0,9.27064804150312,0,1,NA
ENSG00000002330,650.264645895875,3.19650109372901,1.57673467556789,2.02729168277962,0.0426325916000305,0.210347088607135
ENSG00000002549,4562.94828991975,0.0252710084794496,1.08404509361493,0.0233117686969822,0.981401584202975,1
ENSG00000002586,3303.75005564536,-0.367266991648669,0.829977005232037,-0.442502610715091,0.658125541523352,0.931972576816651
ENSG00000002587,95.8373889005558,18.9858492037947,3.28752829619556,5.77511354830491,7.69012072247472e-09,3.58968255542684e-07
ENSG00000002726,19.8318723759906,0,9.27064804004613,0,NA,NA
ENSG00000002745,1.93331477308858,0,9.27064804084405,0,1,NA
ENSG00000002746,0.680035520001394,-1.11601092216141,9.23394391737439,-0.120859616665155,0.90380222886147,NA
ENSG00000002822,297.539465853736,2.53034293402782,1.68577871623616,1.50099352284938,0.133357236871229,0.441573600400849
ENSG00000002834,1321.74063042514,-1.94675812004741,1.05187361047446,-1.85075288576667,0.0642051119007815,0.276900406018736
ENSG00000002919,121.517643231593,-1.81577231192311,2.57881707797508,-0.704110550310484,0.481363930340533,0.837953631912396
ENSG00000002933,4025.40048346998,2.3574087286743,0.822875506267827,2.86484250742422,0.00417216688043189,0.0408511998870331
ENSG00000003056,1029.80302380232,-0.522152745919626,0.939982712919175,-0.555491860374802,0.578558276061476,0.89457993465366
ENSG00000003096,583.779978497949,0.162775501208216,1.40511350070179,0.115845090896157,0.907775313694183,1
ENSG00000003137,169.799964141328,-7.23976836586517,2.87329589047118,-2.51967379686676,0.0117463635800235,0.0903397053409805
ENSG00000003147,2044.55606218576,0.581440624921331,1.31011989766073,0.443807185861015,0.657181992647187,0.931972576816651
ENSG00000003249,157.58348151456,0.939200602157725,2.04685722265414,0.458850080876609,0.646341828275133,0.928099657676203
ENSG00000003393,1372.61711542746,-1.16664067580012,1.149088368455,-1.01527498478531,0.309974765261186,0.702243175147237
ENSG00000003400,82.2880291139752,-21.1528612316684,2.9069974157413,-7.27653252016196,3.42509577144239e-13,3.83303346011803e-11
ENSG00000003402,1027.86517864452,-2.55335854620045,1.02085991208811,-2.50118406645796,0.0123778826925738,0.0941496304017769
ENSG00000003436,2218.26578753863,-3.58656775372698,1.12059758554136,-3.20058493789661,0.00137148939759519,0.0165469674521194
ENSG00000003509,113.141364798327,-0.197240404418019,2.21952501063385,-0.0888660427222176,0.929188370728402,1
ENSG00000003756,1426.03988592309,-0.065608840938365,0.836479167985984,-0.0784345186937928,0.937482416150942,1
ENSG00000003987,42.3028448848292,-1.34012495721148,2.8977312949253,-0.462473853099629,0.643741548548948,0.927566755210306
ENSG00000003989,1401.67129092979,-2.62044230920206,1.10942258552231,-2.36198752702367,0.0181772537680455,0.121121563466618
ENSG00000004059,2771.6145509042,1.43793338699352,0.835706490422625,1.7206201022399,0.0853197832413616,0.332480530318681
ENSG00000004139,227.493884742803,1.49607033320415,2.23376628125604,0.669752402369917,0.503015640401775,0.851436595601796
ENSG00000004142,1943.4505581523,0.801526928837422,1.00542773018992,0.797199942641344,0.425334919348789,0.799273608585046
ENSG00000004399,1455.73916430598,-0.72014949971857,1.43703256170256,-0.501136521823386,0.616275045105063,0.915390176424113
ENSG00000004455,4341.70918677833,0.0204383046386728,0.739292098819779,0.0276457771850949,0.977944670689313,1
ENSG00000004468,34.2212979080946,-21.2874059465556,4.94890528210512,-4.30143733474335,1.69693766491179e-05,0.000375953524797336
ENSG00000004478,1192.91426069541,1.28231627714446,0.881734620136612,1.45431090926858,0.145860127261783,0.463070758635426
